date,fund,fund_id,universe,method,portfolio_return,growth_of_1,drawdown
2021-08-16,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,-0.0004269301836611458,1.1450358524198718,-0.00042693018366102287
2021-08-17,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,-0.011133831300007314,1.132287216406569,-0.01155600811502655
2021-08-18,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,-0.007664607723265018,1.1236086790627449,-0.01913204356924303
2021-08-19,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,-0.0040933800306293825,1.1190093217336274,-0.023147108874781108
2021-08-20,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,0.00963457295333064,1.1297904986793272,-0.013735548430563127
2021-08-23,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,0.010259409179559816,1.1413814816924575,-0.0036170578626580907
2021-08-24,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,0.00483765321452938,1.1469030894863712,0.0
2021-08-25,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,0.0012348309379110805,1.1483193209040548,0.0
2021-08-26,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,-0.0071713958440516755,1.140084268498479,-0.007171395844051687
2021-08-27,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,0.011103847118402836,1.1527435899179823,0.0
2021-08-30,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,0.0014632597972628,1.1544303532696616,0.0
2021-08-31,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,-0.003953636295235466,1.1498661555246532,-0.003953636295235374
2021-09-01,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,0.0012499017386147432,1.1513033752316177,-0.0027086762134999054
2021-09-02,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,0.0031250746972970567,1.1549012842784667,0.0
2021-09-03,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,-0.0035399465477460048,1.1508129954641977,-0.0035399465477460312
2021-09-07,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,-0.009634684818116775,1.1397252749683073,-0.01314052509660224
2021-09-08,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,-0.003975457695186155,1.1351943453535365,-0.01706374319017434
2021-09-09,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,-0.004103959599933599,1.1305355536221324,-0.02109767387743189
2021-09-10,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,-0.003989322360296808,1.126025482858957,-0.02500283081557919
2021-09-13,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,-0.0014514706223534694,1.1243910899505658,-0.026418010563528327
2021-09-14,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,-0.012352941338983988,1.1105015527743303,-0.03844461176772829
2021-09-15,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,0.006511282169667368,1.1177323417342977,-0.03218365331318396
2021-09-16,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,-0.004330313910172761,1.1128922098270357,-0.03637460190173436
2021-09-17,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,-0.014970152546291457,1.0962320436783457,-0.05080022110874616
2021-09-20,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,-0.01944623840510054,1.074914454009666,-0.0692585863031342
2021-09-21,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,-0.003978583392566281,1.0706378172145137,-0.07296161863444228
2021-09-22,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,0.009691989679331638,1.081014427889259,-0.06397677220990283
2021-09-23,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,0.011312608270585372,1.0932435206468212,-0.05338790810174454
2021-09-24,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,-0.008388487037377344,1.0840728615451785,-0.06132855136405779
2021-09-27,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,-0.0015352065915703412,1.0824085857423917,-0.06276960595932257
2021-09-28,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,-0.014488159758126257,1.0667264772285885,-0.07634834963835557
2021-09-29,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,-0.0008295083188255999,1.0658416187418158,-0.07711452636602756
2021-09-30,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,-0.01278623553353632,1.0522135167631375,-0.08891475740239063
2021-10-01,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,0.007911270389309522,1.060537862401537,-0.08170691570049127
2021-10-04,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,-0.00744051715989906,1.0526469122376156,-0.08853949115203841
2021-10-05,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,0.011381955700234652,1.0646280927606928,-0.07816528801781775
2021-10-06,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,0.0022132572029635953,1.0669843885554728,-0.07612503070158128
2021-10-07,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,0.0077941370612161385,1.0753006111220522,-0.06892422256344244
2021-10-08,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,-0.0018027768603821048,1.0733620840623666,-0.07060274443026737
2021-10-11,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,-0.006980216132119067,1.0658697847275895,-0.07709013814674237
2021-10-12,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,0.005546171413391948,1.0717812812580438,-0.0719715218537944
2021-10-13,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,0.00428397125321511,1.0763727614566871,-0.06799587453125122
2021-10-14,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,0.014454263150003196,1.0919309365982777,-0.054524441644837385
2021-10-15,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,0.0064120381635102445,1.0989324394356632,-0.04846201628199809
2021-10-18,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,0.006784076333697448,1.1063876809903712,-0.0420067099660425
2021-10-19,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,0.004277163710227674,1.111119882228946,-0.03790921583126772
2021-10-20,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,0.007490210206751539,1.1194424037117419,-0.030702953619865525
2021-10-21,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,0.0011155060316370368,1.1206911484651525,-0.029621696918180507
2021-10-22,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,0.007701107448078597,1.1293217114155933,-0.022148709340863215
2021-10-25,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,0.010763507989093472,1.1414771746786718,-0.011623599161708187
2021-10-26,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,0.01570307615900188,1.1594018776864132,0.0
2021-10-27,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,-0.01637184884467186,1.1404203253947025,-0.01637184884467191
