date,fund,fund_id,universe,method,weight_effective_date,portfolio_lagged_sentiment,total_equity_weight,observed_equity_weight,missing_equity_weight,sentiment_weight_coverage,observed_sector_count,missing_sector_count,latest_signal_source_date
2023-08-04,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,2023-08-02,0.06644906544011539,0.8333333333333302,0.8333333333333302,0.0,1.0,10,0,2023-08-03
2023-08-07,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,2023-08-02,0.031161388888888877,0.8333333333333302,0.7499999999999971,0.08333333333333304,0.9,9,1,2023-08-04
2023-08-08,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,2023-08-02,0.05607363333333332,0.8333333333333302,0.8333333333333302,0.0,1.0,10,0,2023-08-07
2023-08-09,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,2023-08-02,0.09930352301587299,0.8333333333333302,0.8333333333333302,0.0,1.0,10,0,2023-08-08
2023-08-10,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,2023-08-02,0.10227050442773597,0.8333333333333302,0.8333333333333302,0.0,1.0,10,0,2023-08-09
2023-08-11,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,2023-08-02,0.11435904803921566,0.8333333333333302,0.8333333333333302,0.0,1.0,10,0,2023-08-10
2023-08-14,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,2023-08-02,0.15346097095034594,0.8333333333333302,0.8333333333333302,0.0,1.0,10,0,2023-08-11
2023-08-15,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,2023-08-02,0.1513721002580752,0.8333333333333302,0.8333333333333302,0.0,1.0,10,0,2023-08-14
2023-08-16,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,2023-08-02,0.056411394888444856,0.8333333333333302,0.8333333333333302,0.0,1.0,10,0,2023-08-15
2023-08-17,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,2023-08-02,0.11428897230238895,0.8333333333333302,0.7499999999999971,0.08333333333333304,0.9,9,1,2023-08-16
2023-08-18,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,2023-08-02,0.09404412487327483,0.8333333333333302,0.8333333333333302,0.0,1.0,10,0,2023-08-17
2023-08-21,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,2023-08-02,0.11315305595238093,0.8333333333333302,0.8333333333333302,0.0,1.0,10,0,2023-08-18
2023-08-22,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,2023-08-02,0.0740976199333712,0.8333333333333302,0.8333333333333302,0.0,1.0,10,0,2023-08-21
